"date","server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
2023-11-11T23:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.6207","1.97825","0","116292690","14328079","860066981","62493642","https://www.speedtest.net/result/c/4172de31-150c-48e4-b21f-3c626d136562","1","22.8196","15.9336","9.689","259.195","29.5181","11.8171","18.161","140.575","13.356","16.235"
2023-11-12T00:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9407","0.91","0","118237546","14375678","1020908233","52873481","https://www.speedtest.net/result/c/ce2b4a23-db7d-4e1c-be9e-14aecda52bb1","1","24.9372","10.7772","13.142","232.903","35.2463","15.3467","20.984","139.95","13.253","15.186"
2023-11-12T01:00:01-0600,"Cox - Omaha - Omaha, NE","16621","13.8492","1.087","0","118075375","14300146","1038154648","101663307","https://www.speedtest.net/result/c/76439a94-bdc1-4654-ac86-19543fd927ac","1","24.5182","15.2931","7.805","289.516","28.477","12.6448","14.294","230.891","13.447","15.177"
2023-11-12T02:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.5333","1.83075","0","117898081","14312394","1032954276","134763864","https://www.speedtest.net/result/c/e5d8662f-7b45-4ed6-b09d-130e42b2899d","1","24.4987","4.62","7.339","44.095","32.1695","10.1707","18.974","141.078","12.318","17.834"
2023-11-12T03:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.5854","0.90875","0","118194290","14303635","1044106236","107207109","https://www.speedtest.net/result/c/f75355c4-f057-4ec3-821b-a870bf0d9362","1","25.1068","6.04036","9.805","47.202","29.7035","9.57574","21.067","172.69","13.231","14.858"
2023-11-12T04:00:01-0600,"Cox - Omaha - Omaha, NE","16621","14.1981","0.98825","0","117828304","14273338","995470504","103340081","https://www.speedtest.net/result/c/96fbd916-1666-403a-8a96-ec23b2128e99","1","23.3397","4.22094","12.536","35.495","28.9158","10.9679","14.888","140.582","13.411","15.837"
2023-11-12T05:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.7209","1.018","0","117975649","14382961","1028722912","141124665","https://www.speedtest.net/result/c/3a23d3fe-11d1-4147-8195-c082a1096b5e","1","24.5338","5.86036","16.125","50.076","40.3538","6.39015","12.893","142.539","13.109","14.984"
2023-11-12T06:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9155","0.6395","0","117791831","14284910","993287456","122172025","https://www.speedtest.net/result/c/a33588ed-d81e-4c2c-a3ff-de2ce4e0de48","1","24.4677","3.3827","15.482","34.131","26.415","7.1449","15.681","133.416","13.454","15.911"
2023-11-12T07:00:00-0600,"Cox - Omaha - Omaha, NE","16621","12.9292","0.71475","0","118172215","14281342","1018426868","70743064","https://www.speedtest.net/result/c/2f9f329c-3ddb-40ef-bca9-faf2065b08bc","1","25.2778","12.7994","18.804","243.459","17.7837","16.134","12.755","142.547","12.445","14.21"
2023-11-12T08:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9268","1.14925","0","118092376","14248481","1030010184","91503080","https://www.speedtest.net/result/c/de140ecd-b173-4582-88d6-2cea71f8f440","1","24.7847","5.21244","13.7","49.38","21.2483","10.8373","12.313","134.92","12.73","15.555"
2023-11-12T09:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.8315","1.08175","0","117780191","14357993","984446618","52679952","https://www.speedtest.net/result/c/f11d841d-8f2b-4501-8552-c5a704c00ed4","1","25.0763","8.53089","12.659","245.377","24.5858","17.3139","11.475","223.724","10.17","14.18"
2023-11-12T10:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.4776","3.556","0","117358817","14141766","1037374293","80442016","https://www.speedtest.net/result/c/0bb39f93-1f19-49d8-8151-d61edfff6e50","1","25.6068","14.6416","13.718","253.42","20.6939","9.50752","7.505","206.264","7.751","14.312"
2023-11-12T11:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9677","1.462","0","117629996","13820571","1038418230","135026826","https://www.speedtest.net/result/c/74cfe375-36d8-497b-8f89-2421847925dd","1","23.2527","4.83812","13.417","33.291","18.0296","10.7665","8.088","204.584","11.457","14.603"
